column,role,unit,formula,source,availability_rule,missingness_handling,dtype
demand_forecast_mw_ni_age_minutes,model_feature,MW,carried through from its named source field,as-of forecast matrix or EirGrid history,available at issue time or explicitly marked missing,retain null and use paired missing/availability flag; fitted pipeline median-imputes numeric inputs,float64
demand_forecast_mw_ni_available_flag,quality_or_availability,integer,carried through from its named source field,as-of forecast matrix or EirGrid history,available at issue time or explicitly marked missing,retain null and use paired missing/availability flag; fitted pipeline median-imputes numeric inputs,int64
demand_forecast_mw_roi,model_feature,MW,carried through from its named source field,as-of forecast matrix or EirGrid history,available at issue time or explicitly marked missing,retain null and use paired missing/availability flag; fitted pipeline median-imputes numeric inputs,float64
demand_forecast_mw_roi_published_at_utc,provenance,MW,carried through from its named source field,as-of forecast matrix or EirGrid history,timestamp must be <= issue time,retain null and use paired missing/availability flag; fitted pipeline median-imputes numeric inputs,"datetime64[us, UTC]"
demand_forecast_mw_roi_source_id,provenance,MW,carried through from its named source field,as-of forecast matrix or EirGrid history,available at issue time or explicitly marked missing,retain null and use paired missing/availability flag; fitted pipeline median-imputes numeric inputs,str
demand_forecast_mw_roi_age_minutes,model_feature,MW,carried through from its named source field,as-of forecast matrix or EirGrid history,available at issue time or explicitly marked missing,retain null and use paired missing/availability flag; fitted pipeline median-imputes numeric inputs,float64
demand_forecast_mw_roi_available_flag,quality_or_availability,integer,carried through from its named source field,as-of forecast matrix or EirGrid history,available at issue time or explicitly marked missing,retain null and use paired missing/availability flag; fitted pipeline median-imputes numeric inputs,int64
interconnector_max_export_mw_nimoyle,model_feature,MW,carried through from its named source field,as-of forecast matrix or EirGrid history,available at issue time or explicitly marked missing,retain null and use paired missing/availability flag; fitted pipeline median-imputes numeric inputs,float64
interconnector_max_export_mw_nimoyle_published_at_utc,provenance,MW,carried through from its named source field,as-of forecast matrix or EirGrid history,timestamp must be <= issue time,retain null and use paired missing/availability flag; fitted pipeline median-imputes numeric inputs,"datetime64[us, UTC]"
interconnector_max_export_mw_nimoyle_source_id,provenance,MW,carried through from its named source field,as-of forecast matrix or EirGrid history,available at issue time or explicitly marked missing,retain null and use paired missing/availability flag; fitted pipeline median-imputes numeric inputs,str
interconnector_max_export_mw_nimoyle_age_minutes,model_feature,MW,carried through from its named source field,as-of forecast matrix or EirGrid history,available at issue time or explicitly marked missing,retain null and use paired missing/availability flag; fitted pipeline median-imputes numeric inputs,float64
interconnector_max_export_mw_nimoyle_available_flag,quality_or_availability,integer,carried through from its named source field,as-of forecast matrix or EirGrid history,available at issue time or explicitly marked missing,retain null and use paired missing/availability flag; fitted pipeline median-imputes numeric inputs,int64
interconnector_max_export_mw_roiewic,model_feature,MW,carried through from its named source field,as-of forecast matrix or EirGrid history,available at issue time or explicitly marked missing,retain null and use paired missing/availability flag; fitted pipeline median-imputes numeric inputs,float64
interconnector_max_export_mw_roiewic_published_at_utc,provenance,MW,carried through from its named source field,as-of forecast matrix or EirGrid history,timestamp must be <= issue time,retain null and use paired missing/availability flag; fitted pipeline median-imputes numeric inputs,"datetime64[us, UTC]"
interconnector_max_export_mw_roiewic_source_id,provenance,MW,carried through from its named source field,as-of forecast matrix or EirGrid history,available at issue time or explicitly marked missing,retain null and use paired missing/availability flag; fitted pipeline median-imputes numeric inputs,str
interconnector_max_export_mw_roiewic_age_minutes,model_feature,MW,carried through from its named source field,as-of forecast matrix or EirGrid history,available at issue time or explicitly marked missing,retain null and use paired missing/availability flag; fitted pipeline median-imputes numeric inputs,float64
interconnector_max_export_mw_roiewic_available_flag,quality_or_availability,integer,carried through from its named source field,as-of forecast matrix or EirGrid history,available at issue time or explicitly marked missing,retain null and use paired missing/availability flag; fitted pipeline median-imputes numeric inputs,int64
interconnector_max_export_mw_roigrlk,model_feature,MW,carried through from its named source field,as-of forecast matrix or EirGrid history,available at issue time or explicitly marked missing,retain null and use paired missing/availability flag; fitted pipeline median-imputes numeric inputs,float64
interconnector_max_export_mw_roigrlk_published_at_utc,provenance,MW,carried through from its named source field,as-of forecast matrix or EirGrid history,timestamp must be <= issue time,retain null and use paired missing/availability flag; fitted pipeline median-imputes numeric inputs,"datetime64[us, UTC]"
interconnector_max_export_mw_roigrlk_source_id,provenance,MW,carried through from its named source field,as-of forecast matrix or EirGrid history,available at issue time or explicitly marked missing,retain null and use paired missing/availability flag; fitted pipeline median-imputes numeric inputs,str
interconnector_max_export_mw_roigrlk_age_minutes,model_feature,MW,carried through from its named source field,as-of forecast matrix or EirGrid history,available at issue time or explicitly marked missing,retain null and use paired missing/availability flag; fitted pipeline median-imputes numeric inputs,float64
interconnector_max_export_mw_roigrlk_available_flag,quality_or_availability,integer,carried through from its named source field,as-of forecast matrix or EirGrid history,available at issue time or explicitly marked missing,retain null and use paired missing/availability flag; fitted pipeline median-imputes numeric inputs,int64
interconnector_max_import_mw_nimoyle,model_feature,MW,carried through from its named source field,as-of forecast matrix or EirGrid history,available at issue time or explicitly marked missing,retain null and use paired missing/availability flag; fitted pipeline median-imputes numeric inputs,float64
interconnector_max_import_mw_nimoyle_published_at_utc,provenance,MW,carried through from its named source field,as-of forecast matrix or EirGrid history,timestamp must be <= issue time,retain null and use paired missing/availability flag; fitted pipeline median-imputes numeric inputs,"datetime64[us, UTC]"
interconnector_max_import_mw_nimoyle_source_id,provenance,MW,carried through from its named source field,as-of forecast matrix or EirGrid history,available at issue time or explicitly marked missing,retain null and use paired missing/availability flag; fitted pipeline median-imputes numeric inputs,str
interconnector_max_import_mw_nimoyle_age_minutes,model_feature,MW,carried through from its named source field,as-of forecast matrix or EirGrid history,available at issue time or explicitly marked missing,retain null and use paired missing/availability flag; fitted pipeline median-imputes numeric inputs,float64
interconnector_max_import_mw_nimoyle_available_flag,quality_or_availability,integer,carried through from its named source field,as-of forecast matrix or EirGrid history,available at issue time or explicitly marked missing,retain null and use paired missing/availability flag; fitted pipeline median-imputes numeric inputs,int64
interconnector_max_import_mw_roiewic,model_feature,MW,carried through from its named source field,as-of forecast matrix or EirGrid history,available at issue time or explicitly marked missing,retain null and use paired missing/availability flag; fitted pipeline median-imputes numeric inputs,float64
interconnector_max_import_mw_roiewic_published_at_utc,provenance,MW,carried through from its named source field,as-of forecast matrix or EirGrid history,timestamp must be <= issue time,retain null and use paired missing/availability flag; fitted pipeline median-imputes numeric inputs,"datetime64[us, UTC]"
interconnector_max_import_mw_roiewic_source_id,provenance,MW,carried through from its named source field,as-of forecast matrix or EirGrid history,available at issue time or explicitly marked missing,retain null and use paired missing/availability flag; fitted pipeline median-imputes numeric inputs,str
interconnector_max_import_mw_roiewic_age_minutes,model_feature,MW,carried through from its named source field,as-of forecast matrix or EirGrid history,available at issue time or explicitly marked missing,retain null and use paired missing/availability flag; fitted pipeline median-imputes numeric inputs,float64
interconnector_max_import_mw_roiewic_available_flag,quality_or_availability,integer,carried through from its named source field,as-of forecast matrix or EirGrid history,available at issue time or explicitly marked missing,retain null and use paired missing/availability flag; fitted pipeline median-imputes numeric inputs,int64
interconnector_max_import_mw_roigrlk,model_feature,MW,carried through from its named source field,as-of forecast matrix or EirGrid history,available at issue time or explicitly marked missing,retain null and use paired missing/availability flag; fitted pipeline median-imputes numeric inputs,float64
interconnector_max_import_mw_roigrlk_published_at_utc,provenance,MW,carried through from its named source field,as-of forecast matrix or EirGrid history,timestamp must be <= issue time,retain null and use paired missing/availability flag; fitted pipeline median-imputes numeric inputs,"datetime64[us, UTC]"
interconnector_max_import_mw_roigrlk_source_id,provenance,MW,carried through from its named source field,as-of forecast matrix or EirGrid history,available at issue time or explicitly marked missing,retain null and use paired missing/availability flag; fitted pipeline median-imputes numeric inputs,str
interconnector_max_import_mw_roigrlk_age_minutes,model_feature,MW,carried through from its named source field,as-of forecast matrix or EirGrid history,available at issue time or explicitly marked missing,retain null and use paired missing/availability flag; fitted pipeline median-imputes numeric inputs,float64
interconnector_max_import_mw_roigrlk_available_flag,quality_or_availability,integer,carried through from its named source field,as-of forecast matrix or EirGrid history,available at issue time or explicitly marked missing,retain null and use paired missing/availability flag; fitted pipeline median-imputes numeric inputs,int64
solar_forecast_mw_all,model_feature,MW,carried through from its named source field,as-of forecast matrix or EirGrid history,available at issue time or explicitly marked missing,retain null and use paired missing/availability flag; fitted pipeline median-imputes numeric inputs,float64
solar_forecast_mw_all_published_at_utc,provenance,MW,carried through from its named source field,as-of forecast matrix or EirGrid history,timestamp must be <= issue time,retain null and use paired missing/availability flag; fitted pipeline median-imputes numeric inputs,"datetime64[us, UTC]"
solar_forecast_mw_all_source_id,provenance,MW,carried through from its named source field,as-of forecast matrix or EirGrid history,available at issue time or explicitly marked missing,retain null and use paired missing/availability flag; fitted pipeline median-imputes numeric inputs,str
solar_forecast_mw_all_age_minutes,model_feature,MW,carried through from its named source field,as-of forecast matrix or EirGrid history,available at issue time or explicitly marked missing,retain null and use paired missing/availability flag; fitted pipeline median-imputes numeric inputs,float64
solar_forecast_mw_all_available_flag,quality_or_availability,integer,carried through from its named source field,as-of forecast matrix or EirGrid history,available at issue time or explicitly marked missing,retain null and use paired missing/availability flag; fitted pipeline median-imputes numeric inputs,int64
wind_forecast_mw_all,model_feature,MW,carried through from its named source field,as-of forecast matrix or EirGrid history,available at issue time or explicitly marked missing,retain null and use paired missing/availability flag; fitted pipeline median-imputes numeric inputs,float64
wind_forecast_mw_all_published_at_utc,provenance,MW,carried through from its named source field,as-of forecast matrix or EirGrid history,timestamp must be <= issue time,retain null and use paired missing/availability flag; fitted pipeline median-imputes numeric inputs,"datetime64[us, UTC]"
wind_forecast_mw_all_source_id,provenance,MW,carried through from its named source field,as-of forecast matrix or EirGrid history,available at issue time or explicitly marked missing,retain null and use paired missing/availability flag; fitted pipeline median-imputes numeric inputs,str
wind_forecast_mw_all_age_minutes,model_feature,MW,carried through from its named source field,as-of forecast matrix or EirGrid history,available at issue time or explicitly marked missing,retain null and use paired missing/availability flag; fitted pipeline median-imputes numeric inputs,float64
wind_forecast_mw_all_available_flag,quality_or_availability,integer,carried through from its named source field,as-of forecast matrix or EirGrid history,available at issue time or explicitly marked missing,retain null and use paired missing/availability flag; fitted pipeline median-imputes numeric inputs,int64
history_label_available_flag,target_or_label_availability,integer,carried through from its named source field,as-of forecast matrix or EirGrid history,available at issue time or explicitly marked missing,retain null and use paired missing/availability flag; fitted pipeline median-imputes numeric inputs,int8
latest_completed_demand_mw,model_feature,MW,latest half-hour observation whose interval ended no later than issue_timestamp_utc,EirGrid historical system data,observation interval end <= issue time,retain null and use paired missing/availability flag; fitted pipeline median-imputes numeric inputs,float64
latest_completed_wind_generation_mw,model_feature,MW,latest half-hour observation whose interval ended no later than issue_timestamp_utc,EirGrid historical system data,observation interval end <= issue time,retain null and use paired missing/availability flag; fitted pipeline median-imputes numeric inputs,float64
latest_completed_solar_generation_mw,model_feature,MW,latest half-hour observation whose interval ended no later than issue_timestamp_utc,EirGrid historical system data,observation interval end <= issue time,retain null and use paired missing/availability flag; fitted pipeline median-imputes numeric inputs,float64
latest_completed_ewic_flow_mw,model_feature,MW,latest half-hour observation whose interval ended no later than issue_timestamp_utc,EirGrid historical system data,observation interval end <= issue time,retain null and use paired missing/availability flag; fitted pipeline median-imputes numeric inputs,float64
latest_completed_moyle_flow_mw,model_feature,MW,latest half-hour observation whose interval ended no later than issue_timestamp_utc,EirGrid historical system data,observation interval end <= issue time,retain null and use paired missing/availability flag; fitted pipeline median-imputes numeric inputs,float64
latest_completed_greenlink_flow_mw,model_feature,MW,latest half-hour observation whose interval ended no later than issue_timestamp_utc,EirGrid historical system data,observation interval end <= issue time,retain null and use paired missing/availability flag; fitted pipeline median-imputes numeric inputs,float64
latest_completed_snsp_ratio,model_feature,ratio,latest half-hour observation whose interval ended no later than issue_timestamp_utc,EirGrid historical system data,observation interval end <= issue time,retain null and use paired missing/availability flag; fitted pipeline median-imputes numeric inputs,float64
latest_completed_observed_at_utc,provenance,UTC timestamp,latest half-hour observation whose interval ended no later than issue_timestamp_utc,EirGrid historical system data,observation interval end <= issue time,retain null and use paired missing/availability flag; fitted pipeline median-imputes numeric inputs,"datetime64[us, UTC]"
latest_completed_state_age_minutes,model_feature,minutes,latest half-hour observation whose interval ended no later than issue_timestamp_utc,EirGrid historical system data,observation interval end <= issue time,retain null and use paired missing/availability flag; fitted pipeline median-imputes numeric inputs,float64
latest_completed_state_stale_flag,quality_or_availability,integer,1 when the input is unavailable or older than its documented threshold,derived from publication or observation age,calculated from age known at issue time,retain null and use paired missing/availability flag; fitted pipeline median-imputes numeric inputs,int8
dispatch_down_mwh,target_or_label_availability,MWh,carried through from its named source field,as-of forecast matrix or EirGrid history,available at issue time or explicitly marked missing,retain null and use paired missing/availability flag; fitted pipeline median-imputes numeric inputs,float64
curtailment_mwh,target_or_label_availability,MWh,carried through from its named source field,as-of forecast matrix or EirGrid history,available at issue time or explicitly marked missing,retain null and use paired missing/availability flag; fitted pipeline median-imputes numeric inputs,float64
constraint_mwh,target_or_label_availability,MWh,carried through from its named source field,as-of forecast matrix or EirGrid history,available at issue time or explicitly marked missing,retain null and use paired missing/availability flag; fitted pipeline median-imputes numeric inputs,float64
dispatch_down_available_flag,target_or_label_availability,integer,carried through from its named source field,as-of forecast matrix or EirGrid history,available at issue time or explicitly marked missing,retain null and use paired missing/availability flag; fitted pipeline median-imputes numeric inputs,int8
demand_forecast_mw_all_stale_flag,quality_or_availability,integer,1 when the input is unavailable or older than its documented threshold,derived from publication or observation age,calculated from age known at issue time,retain null and use paired missing/availability flag; fitted pipeline median-imputes numeric inputs,int8
wind_forecast_mw_all_stale_flag,quality_or_availability,integer,1 when the input is unavailable or older than its documented threshold,derived from publication or observation age,calculated from age known at issue time,retain null and use paired missing/availability flag; fitted pipeline median-imputes numeric inputs,int8
solar_forecast_mw_all_stale_flag,quality_or_availability,integer,1 when the input is unavailable or older than its documented threshold,derived from publication or observation age,calculated from age known at issue time,retain null and use paired missing/availability flag; fitted pipeline median-imputes numeric inputs,int8
interconnector_max_import_mw_nimoyle_stale_flag,quality_or_availability,integer,1 when the input is unavailable or older than its documented threshold,derived from publication or observation age,calculated from age known at issue time,retain null and use paired missing/availability flag; fitted pipeline median-imputes numeric inputs,int8
interconnector_max_export_mw_nimoyle_stale_flag,quality_or_availability,integer,1 when the input is unavailable or older than its documented threshold,derived from publication or observation age,calculated from age known at issue time,retain null and use paired missing/availability flag; fitted pipeline median-imputes numeric inputs,int8
interconnector_max_import_mw_roiewic_stale_flag,quality_or_availability,integer,1 when the input is unavailable or older than its documented threshold,derived from publication or observation age,calculated from age known at issue time,retain null and use paired missing/availability flag; fitted pipeline median-imputes numeric inputs,int8
interconnector_max_export_mw_roiewic_stale_flag,quality_or_availability,integer,1 when the input is unavailable or older than its documented threshold,derived from publication or observation age,calculated from age known at issue time,retain null and use paired missing/availability flag; fitted pipeline median-imputes numeric inputs,int8
interconnector_max_import_mw_roigrlk_stale_flag,quality_or_availability,integer,1 when the input is unavailable or older than its documented threshold,derived from publication or observation age,calculated from age known at issue time,retain null and use paired missing/availability flag; fitted pipeline median-imputes numeric inputs,int8
interconnector_max_export_mw_roigrlk_stale_flag,quality_or_availability,integer,1 when the input is unavailable or older than its documented threshold,derived from publication or observation age,calculated from age known at issue time,retain null and use paired missing/availability flag; fitted pipeline median-imputes numeric inputs,int8
forecast_variable_renewable_mw,model_feature,MW,wind_forecast_mw_all + solar_forecast_mw_all,derived from leakage-safe forecast and completed system-state inputs,available at issue time or explicitly marked missing,retain null and use paired missing/availability flag; fitted pipeline median-imputes numeric inputs,float64
forecast_net_load_mw,model_feature,MW,demand_forecast_mw_all - forecast_variable_renewable_mw,derived from leakage-safe forecast and completed system-state inputs,available at issue time or explicitly marked missing,retain null and use paired missing/availability flag; fitted pipeline median-imputes numeric inputs,float64
forecast_renewable_share_ratio,model_feature,ratio,forecast_variable_renewable_mw / demand_forecast_mw_all,derived from leakage-safe forecast and completed system-state inputs,available at issue time or explicitly marked missing,retain null and use paired missing/availability flag; fitted pipeline median-imputes numeric inputs,float64
forecast_renewable_surplus_mw,model_feature,MW,"max(forecast_variable_renewable_mw - demand_forecast_mw_all, 0)",derived from leakage-safe forecast and completed system-state inputs,available at issue time or explicitly marked missing,retain null and use paired missing/availability flag; fitted pipeline median-imputes numeric inputs,float64
nimoyle_export_headroom_mw,model_feature,MW,"max(export NTC - abs(latest completed flow), 0); null when state is stale",SEMO NTC forecast plus EirGrid completed interconnector flow,available at issue time or explicitly marked missing,retain null and use paired missing/availability flag; fitted pipeline median-imputes numeric inputs,float64
nimoyle_utilisation_ratio,model_feature,ratio,"abs(latest completed flow) / max(import NTC, export NTC); null when state is stale",SEMO NTC forecast plus EirGrid completed interconnector flow,available at issue time or explicitly marked missing,retain null and use paired missing/availability flag; fitted pipeline median-imputes numeric inputs,float64
roiewic_export_headroom_mw,model_feature,MW,"max(export NTC - abs(latest completed flow), 0); null when state is stale",SEMO NTC forecast plus EirGrid completed interconnector flow,available at issue time or explicitly marked missing,retain null and use paired missing/availability flag; fitted pipeline median-imputes numeric inputs,float64
roiewic_utilisation_ratio,model_feature,ratio,"abs(latest completed flow) / max(import NTC, export NTC); null when state is stale",SEMO NTC forecast plus EirGrid completed interconnector flow,available at issue time or explicitly marked missing,retain null and use paired missing/availability flag; fitted pipeline median-imputes numeric inputs,float64
roigrlk_export_headroom_mw,model_feature,MW,"max(export NTC - abs(latest completed flow), 0); null when state is stale",SEMO NTC forecast plus EirGrid completed interconnector flow,available at issue time or explicitly marked missing,retain null and use paired missing/availability flag; fitted pipeline median-imputes numeric inputs,float64
roigrlk_utilisation_ratio,model_feature,ratio,"abs(latest completed flow) / max(import NTC, export NTC); null when state is stale",SEMO NTC forecast plus EirGrid completed interconnector flow,available at issue time or explicitly marked missing,retain null and use paired missing/availability flag; fitted pipeline median-imputes numeric inputs,float64
latest_completed_net_interconnector_flow_mw,model_feature,MW,latest half-hour observation whose interval ended no later than issue_timestamp_utc,EirGrid historical system data,observation interval end <= issue time,retain null and use paired missing/availability flag; fitted pipeline median-imputes numeric inputs,float64
forecast_snsp_proxy_ratio,model_feature,ratio,(forecast variable renewables + positive latest completed net interconnector flow) / demand forecast,derived from leakage-safe forecast and completed system-state inputs,available at issue time or explicitly marked missing,retain null and use paired missing/availability flag; fitted pipeline median-imputes numeric inputs,float64
interconnector_export_headroom_mw,model_feature,MW,"sum(max(export NTC - abs(latest completed flow), 0)) across Moyle, EWIC and Greenlink",derived from leakage-safe forecast and completed system-state inputs,available at issue time or explicitly marked missing,retain null and use paired missing/availability flag; fitted pipeline median-imputes numeric inputs,float64
interconnector_utilisation_ratio,model_feature,ratio,"sum(abs(latest completed flow)) / sum(max(import NTC, export NTC))",derived from leakage-safe forecast and completed system-state inputs,available at issue time or explicitly marked missing,retain null and use paired missing/availability flag; fitted pipeline median-imputes numeric inputs,float64
demand_forecast_known_vintage_count,model_feature,integer,summary of forecast vintages published no later than issue_timestamp_utc,SEMO/EirGrid forecast vintage archive,only revisions published at or before issue time,retain null and use paired missing/availability flag; fitted pipeline median-imputes numeric inputs,int16
demand_forecast_vintage_disagreement_std_mw,model_feature,MW,summary of forecast vintages published no later than issue_timestamp_utc,SEMO/EirGrid forecast vintage archive,only revisions published at or before issue time,retain null and use paired missing/availability flag; fitted pipeline median-imputes numeric inputs,float64
demand_forecast_vintage_range_mw,model_feature,MW,summary of forecast vintages published no later than issue_timestamp_utc,SEMO/EirGrid forecast vintage archive,only revisions published at or before issue time,retain null and use paired missing/availability flag; fitted pipeline median-imputes numeric inputs,float64
demand_forecast_revision_delta_mw,model_feature,MW,summary of forecast vintages published no later than issue_timestamp_utc,SEMO/EirGrid forecast vintage archive,only revisions published at or before issue time,retain null and use paired missing/availability flag; fitted pipeline median-imputes numeric inputs,float64
wind_forecast_known_vintage_count,model_feature,integer,summary of forecast vintages published no later than issue_timestamp_utc,SEMO/EirGrid forecast vintage archive,only revisions published at or before issue time,retain null and use paired missing/availability flag; fitted pipeline median-imputes numeric inputs,int16
wind_forecast_vintage_disagreement_std_mw,model_feature,MW,summary of forecast vintages published no later than issue_timestamp_utc,SEMO/EirGrid forecast vintage archive,only revisions published at or before issue time,retain null and use paired missing/availability flag; fitted pipeline median-imputes numeric inputs,float64
wind_forecast_vintage_range_mw,model_feature,MW,summary of forecast vintages published no later than issue_timestamp_utc,SEMO/EirGrid forecast vintage archive,only revisions published at or before issue time,retain null and use paired missing/availability flag; fitted pipeline median-imputes numeric inputs,float64
wind_forecast_revision_delta_mw,model_feature,MW,summary of forecast vintages published no later than issue_timestamp_utc,SEMO/EirGrid forecast vintage archive,only revisions published at or before issue time,retain null and use paired missing/availability flag; fitted pipeline median-imputes numeric inputs,float64
solar_forecast_known_vintage_count,model_feature,integer,summary of forecast vintages published no later than issue_timestamp_utc,SEMO/EirGrid forecast vintage archive,only revisions published at or before issue time,retain null and use paired missing/availability flag; fitted pipeline median-imputes numeric inputs,int16
solar_forecast_vintage_disagreement_std_mw,model_feature,MW,summary of forecast vintages published no later than issue_timestamp_utc,SEMO/EirGrid forecast vintage archive,only revisions published at or before issue time,retain null and use paired missing/availability flag; fitted pipeline median-imputes numeric inputs,float64
solar_forecast_vintage_range_mw,model_feature,MW,summary of forecast vintages published no later than issue_timestamp_utc,SEMO/EirGrid forecast vintage archive,only revisions published at or before issue time,retain null and use paired missing/availability flag; fitted pipeline median-imputes numeric inputs,float64
solar_forecast_revision_delta_mw,model_feature,MW,summary of forecast vintages published no later than issue_timestamp_utc,SEMO/EirGrid forecast vintage archive,only revisions published at or before issue time,retain null and use paired missing/availability flag; fitted pipeline median-imputes numeric inputs,float64
demand_forecast_error_mw_latest_completed,model_feature,MW,actual - as-of forecast; rolling statistics use only errors observed by issue time,SEMO/EirGrid forecast vintages plus EirGrid actuals,error observation time <= issue time; forecast publication time <= its historical issue time,retain null and use paired missing/availability flag; fitted pipeline median-imputes numeric inputs,float64
demand_forecast_error_observed_at_utc,provenance,UTC timestamp,actual - as-of forecast; rolling statistics use only errors observed by issue time,SEMO/EirGrid forecast vintages plus EirGrid actuals,error observation time <= issue time; forecast publication time <= its historical issue time,retain null and use paired missing/availability flag; fitted pipeline median-imputes numeric inputs,"datetime64[ns, UTC]"
demand_forecast_error_forecast_published_at_utc,provenance,UTC timestamp,actual - as-of forecast; rolling statistics use only errors observed by issue time,SEMO/EirGrid forecast vintages plus EirGrid actuals,error observation time <= issue time; forecast publication time <= its historical issue time,retain null and use paired missing/availability flag; fitted pipeline median-imputes numeric inputs,"datetime64[ns, UTC]"
demand_forecast_error_age_minutes,model_feature,minutes,actual - as-of forecast; rolling statistics use only errors observed by issue time,SEMO/EirGrid forecast vintages plus EirGrid actuals,error observation time <= issue time; forecast publication time <= its historical issue time,retain null and use paired missing/availability flag; fitted pipeline median-imputes numeric inputs,float64
demand_forecast_error_mae_2h,model_feature,MW,actual - as-of forecast; rolling statistics use only errors observed by issue time,SEMO/EirGrid forecast vintages plus EirGrid actuals,error observation time <= issue time; forecast publication time <= its historical issue time,retain null and use paired missing/availability flag; fitted pipeline median-imputes numeric inputs,float64
demand_forecast_error_bias_2h,model_feature,MW,actual - as-of forecast; rolling statistics use only errors observed by issue time,SEMO/EirGrid forecast vintages plus EirGrid actuals,error observation time <= issue time; forecast publication time <= its historical issue time,retain null and use paired missing/availability flag; fitted pipeline median-imputes numeric inputs,float64
demand_forecast_error_count_2h,quality_or_availability,integer,actual - as-of forecast; rolling statistics use only errors observed by issue time,SEMO/EirGrid forecast vintages plus EirGrid actuals,error observation time <= issue time; forecast publication time <= its historical issue time,retain null and use paired missing/availability flag; fitted pipeline median-imputes numeric inputs,float64
demand_forecast_error_mae_6h,model_feature,MW,actual - as-of forecast; rolling statistics use only errors observed by issue time,SEMO/EirGrid forecast vintages plus EirGrid actuals,error observation time <= issue time; forecast publication time <= its historical issue time,retain null and use paired missing/availability flag; fitted pipeline median-imputes numeric inputs,float64
demand_forecast_error_bias_6h,model_feature,MW,actual - as-of forecast; rolling statistics use only errors observed by issue time,SEMO/EirGrid forecast vintages plus EirGrid actuals,error observation time <= issue time; forecast publication time <= its historical issue time,retain null and use paired missing/availability flag; fitted pipeline median-imputes numeric inputs,float64
demand_forecast_error_count_6h,quality_or_availability,integer,actual - as-of forecast; rolling statistics use only errors observed by issue time,SEMO/EirGrid forecast vintages plus EirGrid actuals,error observation time <= issue time; forecast publication time <= its historical issue time,retain null and use paired missing/availability flag; fitted pipeline median-imputes numeric inputs,float64
demand_forecast_error_mae_12h,model_feature,MW,actual - as-of forecast; rolling statistics use only errors observed by issue time,SEMO/EirGrid forecast vintages plus EirGrid actuals,error observation time <= issue time; forecast publication time <= its historical issue time,retain null and use paired missing/availability flag; fitted pipeline median-imputes numeric inputs,float64
demand_forecast_error_bias_12h,model_feature,MW,actual - as-of forecast; rolling statistics use only errors observed by issue time,SEMO/EirGrid forecast vintages plus EirGrid actuals,error observation time <= issue time; forecast publication time <= its historical issue time,retain null and use paired missing/availability flag; fitted pipeline median-imputes numeric inputs,float64
demand_forecast_error_count_12h,quality_or_availability,integer,actual - as-of forecast; rolling statistics use only errors observed by issue time,SEMO/EirGrid forecast vintages plus EirGrid actuals,error observation time <= issue time; forecast publication time <= its historical issue time,retain null and use paired missing/availability flag; fitted pipeline median-imputes numeric inputs,float64
