column,role,unit,formula,source,availability_rule,missingness_handling,dtype
forecast_total_pn_mw_available_flag,availability_or_quality,integer,normalized SEMO field or its as-of availability metadata,SEMO static reports; completed-state fields use EirGrid history,publication and any actual interval end must be <= issue_timestamp_utc,retain null and use paired missing/availability/staleness flag,int8
forecast_total_pn_mw_stale_flag,availability_or_quality,integer,1 when missing or older than the documented threshold,SEMO static reports; completed-state fields use EirGrid history,publication and any actual interval end must be <= issue_timestamp_utc,retain null and use paired missing/availability/staleness flag,int8
forecast_tso_demand_mw,model_feature,MW,normalized SEMO field or its as-of availability metadata,SEMO static reports; completed-state fields use EirGrid history,publication and any actual interval end must be <= issue_timestamp_utc,retain null and use paired missing/availability/staleness flag,float64
forecast_tso_demand_mw_published_at_utc,provenance,MW,normalized SEMO field or its as-of availability metadata,SEMO static reports; completed-state fields use EirGrid history,publication and any actual interval end must be <= issue_timestamp_utc,retain null and use paired missing/availability/staleness flag,"datetime64[us, UTC]"
forecast_tso_demand_mw_age_minutes,model_feature,MW,normalized SEMO field or its as-of availability metadata,SEMO static reports; completed-state fields use EirGrid history,publication and any actual interval end must be <= issue_timestamp_utc,retain null and use paired missing/availability/staleness flag,float64
forecast_tso_demand_mw_available_flag,availability_or_quality,integer,normalized SEMO field or its as-of availability metadata,SEMO static reports; completed-state fields use EirGrid history,publication and any actual interval end must be <= issue_timestamp_utc,retain null and use paired missing/availability/staleness flag,int8
forecast_tso_demand_mw_stale_flag,availability_or_quality,integer,1 when missing or older than the documented threshold,SEMO static reports; completed-state fields use EirGrid history,publication and any actual interval end must be <= issue_timestamp_utc,retain null and use paired missing/availability/staleness flag,int8
interconnector_max_export_mw_nimoyle,model_feature,MW,normalized SEMO field or its as-of availability metadata,SEMO static reports; completed-state fields use EirGrid history,publication and any actual interval end must be <= issue_timestamp_utc,retain null and use paired missing/availability/staleness flag,float64
interconnector_max_export_mw_nimoyle_published_at_utc,provenance,MW,normalized SEMO field or its as-of availability metadata,SEMO static reports; completed-state fields use EirGrid history,publication and any actual interval end must be <= issue_timestamp_utc,retain null and use paired missing/availability/staleness flag,"datetime64[us, UTC]"
interconnector_max_export_mw_nimoyle_age_minutes,model_feature,MW,normalized SEMO field or its as-of availability metadata,SEMO static reports; completed-state fields use EirGrid history,publication and any actual interval end must be <= issue_timestamp_utc,retain null and use paired missing/availability/staleness flag,float64
interconnector_max_export_mw_nimoyle_available_flag,availability_or_quality,integer,normalized SEMO field or its as-of availability metadata,SEMO static reports; completed-state fields use EirGrid history,publication and any actual interval end must be <= issue_timestamp_utc,retain null and use paired missing/availability/staleness flag,int8
interconnector_max_export_mw_nimoyle_stale_flag,availability_or_quality,integer,1 when missing or older than the documented threshold,SEMO static reports; completed-state fields use EirGrid history,publication and any actual interval end must be <= issue_timestamp_utc,retain null and use paired missing/availability/staleness flag,int8
interconnector_max_export_mw_roiewic,model_feature,MW,normalized SEMO field or its as-of availability metadata,SEMO static reports; completed-state fields use EirGrid history,publication and any actual interval end must be <= issue_timestamp_utc,retain null and use paired missing/availability/staleness flag,float64
interconnector_max_export_mw_roiewic_published_at_utc,provenance,MW,normalized SEMO field or its as-of availability metadata,SEMO static reports; completed-state fields use EirGrid history,publication and any actual interval end must be <= issue_timestamp_utc,retain null and use paired missing/availability/staleness flag,"datetime64[us, UTC]"
interconnector_max_export_mw_roiewic_age_minutes,model_feature,MW,normalized SEMO field or its as-of availability metadata,SEMO static reports; completed-state fields use EirGrid history,publication and any actual interval end must be <= issue_timestamp_utc,retain null and use paired missing/availability/staleness flag,float64
interconnector_max_export_mw_roiewic_available_flag,availability_or_quality,integer,normalized SEMO field or its as-of availability metadata,SEMO static reports; completed-state fields use EirGrid history,publication and any actual interval end must be <= issue_timestamp_utc,retain null and use paired missing/availability/staleness flag,int8
interconnector_max_export_mw_roiewic_stale_flag,availability_or_quality,integer,1 when missing or older than the documented threshold,SEMO static reports; completed-state fields use EirGrid history,publication and any actual interval end must be <= issue_timestamp_utc,retain null and use paired missing/availability/staleness flag,int8
interconnector_max_export_mw_roigrlk,model_feature,MW,normalized SEMO field or its as-of availability metadata,SEMO static reports; completed-state fields use EirGrid history,publication and any actual interval end must be <= issue_timestamp_utc,retain null and use paired missing/availability/staleness flag,float64
interconnector_max_export_mw_roigrlk_published_at_utc,provenance,MW,normalized SEMO field or its as-of availability metadata,SEMO static reports; completed-state fields use EirGrid history,publication and any actual interval end must be <= issue_timestamp_utc,retain null and use paired missing/availability/staleness flag,"datetime64[us, UTC]"
interconnector_max_export_mw_roigrlk_age_minutes,model_feature,MW,normalized SEMO field or its as-of availability metadata,SEMO static reports; completed-state fields use EirGrid history,publication and any actual interval end must be <= issue_timestamp_utc,retain null and use paired missing/availability/staleness flag,float64
interconnector_max_export_mw_roigrlk_available_flag,availability_or_quality,integer,normalized SEMO field or its as-of availability metadata,SEMO static reports; completed-state fields use EirGrid history,publication and any actual interval end must be <= issue_timestamp_utc,retain null and use paired missing/availability/staleness flag,int8
interconnector_max_export_mw_roigrlk_stale_flag,availability_or_quality,integer,1 when missing or older than the documented threshold,SEMO static reports; completed-state fields use EirGrid history,publication and any actual interval end must be <= issue_timestamp_utc,retain null and use paired missing/availability/staleness flag,int8
interconnector_max_import_mw_nimoyle,model_feature,MW,normalized SEMO field or its as-of availability metadata,SEMO static reports; completed-state fields use EirGrid history,publication and any actual interval end must be <= issue_timestamp_utc,retain null and use paired missing/availability/staleness flag,float64
interconnector_max_import_mw_nimoyle_published_at_utc,provenance,MW,normalized SEMO field or its as-of availability metadata,SEMO static reports; completed-state fields use EirGrid history,publication and any actual interval end must be <= issue_timestamp_utc,retain null and use paired missing/availability/staleness flag,"datetime64[us, UTC]"
interconnector_max_import_mw_nimoyle_age_minutes,model_feature,MW,normalized SEMO field or its as-of availability metadata,SEMO static reports; completed-state fields use EirGrid history,publication and any actual interval end must be <= issue_timestamp_utc,retain null and use paired missing/availability/staleness flag,float64
interconnector_max_import_mw_nimoyle_available_flag,availability_or_quality,integer,normalized SEMO field or its as-of availability metadata,SEMO static reports; completed-state fields use EirGrid history,publication and any actual interval end must be <= issue_timestamp_utc,retain null and use paired missing/availability/staleness flag,int8
interconnector_max_import_mw_nimoyle_stale_flag,availability_or_quality,integer,1 when missing or older than the documented threshold,SEMO static reports; completed-state fields use EirGrid history,publication and any actual interval end must be <= issue_timestamp_utc,retain null and use paired missing/availability/staleness flag,int8
interconnector_max_import_mw_roiewic,model_feature,MW,normalized SEMO field or its as-of availability metadata,SEMO static reports; completed-state fields use EirGrid history,publication and any actual interval end must be <= issue_timestamp_utc,retain null and use paired missing/availability/staleness flag,float64
interconnector_max_import_mw_roiewic_published_at_utc,provenance,MW,normalized SEMO field or its as-of availability metadata,SEMO static reports; completed-state fields use EirGrid history,publication and any actual interval end must be <= issue_timestamp_utc,retain null and use paired missing/availability/staleness flag,"datetime64[us, UTC]"
interconnector_max_import_mw_roiewic_age_minutes,model_feature,MW,normalized SEMO field or its as-of availability metadata,SEMO static reports; completed-state fields use EirGrid history,publication and any actual interval end must be <= issue_timestamp_utc,retain null and use paired missing/availability/staleness flag,float64
interconnector_max_import_mw_roiewic_available_flag,availability_or_quality,integer,normalized SEMO field or its as-of availability metadata,SEMO static reports; completed-state fields use EirGrid history,publication and any actual interval end must be <= issue_timestamp_utc,retain null and use paired missing/availability/staleness flag,int8
interconnector_max_import_mw_roiewic_stale_flag,availability_or_quality,integer,1 when missing or older than the documented threshold,SEMO static reports; completed-state fields use EirGrid history,publication and any actual interval end must be <= issue_timestamp_utc,retain null and use paired missing/availability/staleness flag,int8
interconnector_max_import_mw_roigrlk,model_feature,MW,normalized SEMO field or its as-of availability metadata,SEMO static reports; completed-state fields use EirGrid history,publication and any actual interval end must be <= issue_timestamp_utc,retain null and use paired missing/availability/staleness flag,float64
interconnector_max_import_mw_roigrlk_published_at_utc,provenance,MW,normalized SEMO field or its as-of availability metadata,SEMO static reports; completed-state fields use EirGrid history,publication and any actual interval end must be <= issue_timestamp_utc,retain null and use paired missing/availability/staleness flag,"datetime64[us, UTC]"
interconnector_max_import_mw_roigrlk_age_minutes,model_feature,MW,normalized SEMO field or its as-of availability metadata,SEMO static reports; completed-state fields use EirGrid history,publication and any actual interval end must be <= issue_timestamp_utc,retain null and use paired missing/availability/staleness flag,float64
interconnector_max_import_mw_roigrlk_available_flag,availability_or_quality,integer,normalized SEMO field or its as-of availability metadata,SEMO static reports; completed-state fields use EirGrid history,publication and any actual interval end must be <= issue_timestamp_utc,retain null and use paired missing/availability/staleness flag,int8
interconnector_max_import_mw_roigrlk_stale_flag,availability_or_quality,integer,1 when missing or older than the documented threshold,SEMO static reports; completed-state fields use EirGrid history,publication and any actual interval end must be <= issue_timestamp_utc,retain null and use paired missing/availability/staleness flag,int8
rtc_interconnector_schedule_mw,model_feature,MW,normalized SEMO field or its as-of availability metadata,SEMO static reports; completed-state fields use EirGrid history,publication and any actual interval end must be <= issue_timestamp_utc,retain null and use paired missing/availability/staleness flag,float64
rtc_interconnector_schedule_mw_published_at_utc,provenance,MW,normalized SEMO field or its as-of availability metadata,SEMO static reports; completed-state fields use EirGrid history,publication and any actual interval end must be <= issue_timestamp_utc,retain null and use paired missing/availability/staleness flag,"datetime64[us, UTC]"
rtc_interconnector_schedule_mw_age_minutes,model_feature,MW,normalized SEMO field or its as-of availability metadata,SEMO static reports; completed-state fields use EirGrid history,publication and any actual interval end must be <= issue_timestamp_utc,retain null and use paired missing/availability/staleness flag,float64
rtc_interconnector_schedule_mw_available_flag,availability_or_quality,integer,normalized SEMO field or its as-of availability metadata,SEMO static reports; completed-state fields use EirGrid history,publication and any actual interval end must be <= issue_timestamp_utc,retain null and use paired missing/availability/staleness flag,int8
rtc_interconnector_schedule_mw_stale_flag,availability_or_quality,integer,1 when missing or older than the documented threshold,SEMO static reports; completed-state fields use EirGrid history,publication and any actual interval end must be <= issue_timestamp_utc,retain null and use paired missing/availability/staleness flag,int8
rtc_scheduled_generation_mw,model_feature,MW,normalized SEMO field or its as-of availability metadata,SEMO static reports; completed-state fields use EirGrid history,publication and any actual interval end must be <= issue_timestamp_utc,retain null and use paired missing/availability/staleness flag,float64
rtc_scheduled_generation_mw_published_at_utc,provenance,MW,normalized SEMO field or its as-of availability metadata,SEMO static reports; completed-state fields use EirGrid history,publication and any actual interval end must be <= issue_timestamp_utc,retain null and use paired missing/availability/staleness flag,"datetime64[us, UTC]"
rtc_scheduled_generation_mw_age_minutes,model_feature,MW,normalized SEMO field or its as-of availability metadata,SEMO static reports; completed-state fields use EirGrid history,publication and any actual interval end must be <= issue_timestamp_utc,retain null and use paired missing/availability/staleness flag,float64
rtc_scheduled_generation_mw_available_flag,availability_or_quality,integer,normalized SEMO field or its as-of availability metadata,SEMO static reports; completed-state fields use EirGrid history,publication and any actual interval end must be <= issue_timestamp_utc,retain null and use paired missing/availability/staleness flag,int8
rtc_scheduled_generation_mw_stale_flag,availability_or_quality,integer,1 when missing or older than the documented threshold,SEMO static reports; completed-state fields use EirGrid history,publication and any actual interval end must be <= issue_timestamp_utc,retain null and use paired missing/availability/staleness flag,int8
rtc_total_scheduled_quantity_mw,model_feature,MW,normalized SEMO field or its as-of availability metadata,SEMO static reports; completed-state fields use EirGrid history,publication and any actual interval end must be <= issue_timestamp_utc,retain null and use paired missing/availability/staleness flag,float64
rtc_total_scheduled_quantity_mw_published_at_utc,provenance,MW,normalized SEMO field or its as-of availability metadata,SEMO static reports; completed-state fields use EirGrid history,publication and any actual interval end must be <= issue_timestamp_utc,retain null and use paired missing/availability/staleness flag,"datetime64[us, UTC]"
rtc_total_scheduled_quantity_mw_age_minutes,model_feature,MW,normalized SEMO field or its as-of availability metadata,SEMO static reports; completed-state fields use EirGrid history,publication and any actual interval end must be <= issue_timestamp_utc,retain null and use paired missing/availability/staleness flag,float64
rtc_total_scheduled_quantity_mw_available_flag,availability_or_quality,integer,normalized SEMO field or its as-of availability metadata,SEMO static reports; completed-state fields use EirGrid history,publication and any actual interval end must be <= issue_timestamp_utc,retain null and use paired missing/availability/staleness flag,int8
rtc_total_scheduled_quantity_mw_stale_flag,availability_or_quality,integer,1 when missing or older than the documented threshold,SEMO static reports; completed-state fields use EirGrid history,publication and any actual interval end must be <= issue_timestamp_utc,retain null and use paired missing/availability/staleness flag,int8
wind_forecast_15min_mw_all,model_feature,MW,normalized SEMO field or its as-of availability metadata,SEMO static reports; completed-state fields use EirGrid history,publication and any actual interval end must be <= issue_timestamp_utc,retain null and use paired missing/availability/staleness flag,float64
wind_forecast_15min_mw_all_published_at_utc,provenance,MW,normalized SEMO field or its as-of availability metadata,SEMO static reports; completed-state fields use EirGrid history,publication and any actual interval end must be <= issue_timestamp_utc,retain null and use paired missing/availability/staleness flag,"datetime64[us, UTC]"
wind_forecast_15min_mw_all_age_minutes,model_feature,MW,normalized SEMO field or its as-of availability metadata,SEMO static reports; completed-state fields use EirGrid history,publication and any actual interval end must be <= issue_timestamp_utc,retain null and use paired missing/availability/staleness flag,float64
wind_forecast_15min_mw_all_available_flag,availability_or_quality,integer,normalized SEMO field or its as-of availability metadata,SEMO static reports; completed-state fields use EirGrid history,publication and any actual interval end must be <= issue_timestamp_utc,retain null and use paired missing/availability/staleness flag,int8
wind_forecast_15min_mw_all_stale_flag,availability_or_quality,integer,1 when missing or older than the documented threshold,SEMO static reports; completed-state fields use EirGrid history,publication and any actual interval end must be <= issue_timestamp_utc,retain null and use paired missing/availability/staleness flag,int8
wind_forecast_4day_mw_all,model_feature,MW,normalized SEMO field or its as-of availability metadata,SEMO static reports; completed-state fields use EirGrid history,publication and any actual interval end must be <= issue_timestamp_utc,retain null and use paired missing/availability/staleness flag,float64
wind_forecast_4day_mw_all_published_at_utc,provenance,MW,normalized SEMO field or its as-of availability metadata,SEMO static reports; completed-state fields use EirGrid history,publication and any actual interval end must be <= issue_timestamp_utc,retain null and use paired missing/availability/staleness flag,"datetime64[us, UTC]"
wind_forecast_4day_mw_all_age_minutes,model_feature,MW,normalized SEMO field or its as-of availability metadata,SEMO static reports; completed-state fields use EirGrid history,publication and any actual interval end must be <= issue_timestamp_utc,retain null and use paired missing/availability/staleness flag,float64
wind_forecast_4day_mw_all_available_flag,availability_or_quality,integer,normalized SEMO field or its as-of availability metadata,SEMO static reports; completed-state fields use EirGrid history,publication and any actual interval end must be <= issue_timestamp_utc,retain null and use paired missing/availability/staleness flag,int8
wind_forecast_4day_mw_all_stale_flag,availability_or_quality,integer,1 when missing or older than the documented threshold,SEMO static reports; completed-state fields use EirGrid history,publication and any actual interval end must be <= issue_timestamp_utc,retain null and use paired missing/availability/staleness flag,int8
wind_forecast_4day_mw_ni,model_feature,MW,normalized SEMO field or its as-of availability metadata,SEMO static reports; completed-state fields use EirGrid history,publication and any actual interval end must be <= issue_timestamp_utc,retain null and use paired missing/availability/staleness flag,float64
wind_forecast_4day_mw_ni_published_at_utc,provenance,MW,normalized SEMO field or its as-of availability metadata,SEMO static reports; completed-state fields use EirGrid history,publication and any actual interval end must be <= issue_timestamp_utc,retain null and use paired missing/availability/staleness flag,"datetime64[us, UTC]"
wind_forecast_4day_mw_ni_age_minutes,model_feature,MW,normalized SEMO field or its as-of availability metadata,SEMO static reports; completed-state fields use EirGrid history,publication and any actual interval end must be <= issue_timestamp_utc,retain null and use paired missing/availability/staleness flag,float64
wind_forecast_4day_mw_ni_available_flag,availability_or_quality,integer,normalized SEMO field or its as-of availability metadata,SEMO static reports; completed-state fields use EirGrid history,publication and any actual interval end must be <= issue_timestamp_utc,retain null and use paired missing/availability/staleness flag,int8
wind_forecast_4day_mw_ni_stale_flag,availability_or_quality,integer,1 when missing or older than the documented threshold,SEMO static reports; completed-state fields use EirGrid history,publication and any actual interval end must be <= issue_timestamp_utc,retain null and use paired missing/availability/staleness flag,int8
