column,role,dtype,unit,source,formula,availability_rule,missingness_handling
generation_planned_unavailable_mw,feature,float64,MW,EirGrid All-Island Generation Outage Plan,See docs/OUTAGE_CONSTRAINT_SIGNALS.md.,Newest generation-plan snapshot published no later than issue time.,Null when no eligible publication exists; availability flag distinguishes unknown from zero.
generation_forced_unavailable_mw,feature,float64,MW,EirGrid All-Island Generation Outage Plan,See docs/OUTAGE_CONSTRAINT_SIGNALS.md.,Newest generation-plan snapshot published no later than issue time.,Null when no eligible publication exists; availability flag distinguishes unknown from zero.
generation_derated_unavailable_mw,feature,float64,MW,EirGrid All-Island Generation Outage Plan,See docs/OUTAGE_CONSTRAINT_SIGNALS.md.,Newest generation-plan snapshot published no later than issue time.,Null when no eligible publication exists; availability flag distinguishes unknown from zero.
generation_total_unavailable_mw,feature,float64,MW,EirGrid All-Island Generation Outage Plan,See docs/OUTAGE_CONSTRAINT_SIGNALS.md.,Newest generation-plan snapshot published no later than issue time.,Null when no eligible publication exists; availability flag distinguishes unknown from zero.
generation_active_outage_count,feature,int64,count,EirGrid All-Island Generation Outage Plan,See docs/OUTAGE_CONSTRAINT_SIGNALS.md.,Newest generation-plan snapshot published no later than issue time.,Null when no eligible publication exists; availability flag distinguishes unknown from zero.
generation_active_planned_count,feature,int64,count,EirGrid All-Island Generation Outage Plan,See docs/OUTAGE_CONSTRAINT_SIGNALS.md.,Newest generation-plan snapshot published no later than issue time.,Null when no eligible publication exists; availability flag distinguishes unknown from zero.
generation_active_forced_count,feature,int64,count,EirGrid All-Island Generation Outage Plan,See docs/OUTAGE_CONSTRAINT_SIGNALS.md.,Newest generation-plan snapshot published no later than issue time.,Null when no eligible publication exists; availability flag distinguishes unknown from zero.
generation_largest_unavailable_unit_mw,feature,float64,MW,EirGrid All-Island Generation Outage Plan,See docs/OUTAGE_CONSTRAINT_SIGNALS.md.,Newest generation-plan snapshot published no later than issue time.,Null when no eligible publication exists; availability flag distinguishes unknown from zero.
generation_hours_to_next_outage_start,feature,float64,hours,EirGrid All-Island Generation Outage Plan,See docs/OUTAGE_CONSTRAINT_SIGNALS.md.,Newest generation-plan snapshot published no later than issue time.,Null when no eligible publication exists; availability flag distinguishes unknown from zero.
generation_hours_to_first_active_outage_end,feature,float64,hours,EirGrid All-Island Generation Outage Plan,See docs/OUTAGE_CONSTRAINT_SIGNALS.md.,Newest generation-plan snapshot published no later than issue time.,Null when no eligible publication exists; availability flag distinguishes unknown from zero.
transmission_active_outage_count,feature,float64,count,EirGrid Transmission Outage Programme,See docs/OUTAGE_CONSTRAINT_SIGNALS.md.,Newest transmission snapshot published no later than issue time.,Null when no eligible publication exists; availability flag distinguishes unknown from zero.
transmission_active_scheduled_count,feature,float64,count,EirGrid Transmission Outage Programme,See docs/OUTAGE_CONSTRAINT_SIGNALS.md.,Newest transmission snapshot published no later than issue time.,Null when no eligible publication exists; availability flag distinguishes unknown from zero.
transmission_voltage_weighted_pressure,feature,float64,unitless,EirGrid Transmission Outage Programme,See docs/OUTAGE_CONSTRAINT_SIGNALS.md.,Newest transmission snapshot published no later than issue time.,Null when no eligible publication exists; availability flag distinguishes unknown from zero.
transmission_largest_voltage_kv,feature,float64,kV,EirGrid Transmission Outage Programme,See docs/OUTAGE_CONSTRAINT_SIGNALS.md.,Newest transmission snapshot published no later than issue time.,Null when no eligible publication exists; availability flag distinguishes unknown from zero.
transmission_hours_to_next_outage_start,feature,float64,hours,EirGrid Transmission Outage Programme,See docs/OUTAGE_CONSTRAINT_SIGNALS.md.,Newest transmission snapshot published no later than issue time.,Null when no eligible publication exists; availability flag distinguishes unknown from zero.
transmission_hours_to_first_active_outage_end,feature,float64,hours,EirGrid Transmission Outage Programme,See docs/OUTAGE_CONSTRAINT_SIGNALS.md.,Newest transmission snapshot published no later than issue time.,Null when no eligible publication exists; availability flag distinguishes unknown from zero.
transmission_active_outage_count_area_south_west,feature,float64,count,EirGrid Transmission Outage Programme,See docs/OUTAGE_CONSTRAINT_SIGNALS.md.,Newest transmission snapshot published no later than issue time.,Null when no eligible publication exists; availability flag distinguishes unknown from zero.
transmission_active_outage_count_south_east,feature,float64,count,EirGrid Transmission Outage Programme,See docs/OUTAGE_CONSTRAINT_SIGNALS.md.,Newest transmission snapshot published no later than issue time.,Null when no eligible publication exists; availability flag distinguishes unknown from zero.
transmission_active_outage_count_north_west,feature,float64,count,EirGrid Transmission Outage Programme,See docs/OUTAGE_CONSTRAINT_SIGNALS.md.,Newest transmission snapshot published no later than issue time.,Null when no eligible publication exists; availability flag distinguishes unknown from zero.
transmission_active_outage_count_north_east,feature,float64,count,EirGrid Transmission Outage Programme,See docs/OUTAGE_CONSTRAINT_SIGNALS.md.,Newest transmission snapshot published no later than issue time.,Null when no eligible publication exists; availability flag distinguishes unknown from zero.
transmission_active_outage_count_dublin,feature,float64,count,EirGrid Transmission Outage Programme,See docs/OUTAGE_CONSTRAINT_SIGNALS.md.,Newest transmission snapshot published no later than issue time.,Null when no eligible publication exists; availability flag distinguishes unknown from zero.
transmission_active_outage_count_cork,feature,float64,count,EirGrid Transmission Outage Programme,See docs/OUTAGE_CONSTRAINT_SIGNALS.md.,Newest transmission snapshot published no later than issue time.,Null when no eligible publication exists; availability flag distinguishes unknown from zero.
ecp_constraint_pressure_weighted_ratio,feature,float64,ratio,EirGrid ECP constraint forecast workbook,See docs/OUTAGE_CONSTRAINT_SIGNALS.md.,Newest ECP snapshot published no later than issue time.,Null when no eligible publication exists; availability flag distinguishes unknown from zero.
ecp_constraint_peak_group_ratio,feature,float64,ratio,EirGrid ECP constraint forecast workbook,See docs/OUTAGE_CONSTRAINT_SIGNALS.md.,Newest ECP snapshot published no later than issue time.,Null when no eligible publication exists; availability flag distinguishes unknown from zero.
ecp_area_a_constraint_pressure_ratio,feature,float64,ratio,EirGrid ECP constraint forecast workbook,See docs/OUTAGE_CONSTRAINT_SIGNALS.md.,Newest ECP snapshot published no later than issue time.,Null when no eligible publication exists; availability flag distinguishes unknown from zero.
ecp_area_b_constraint_pressure_ratio,feature,float64,ratio,EirGrid ECP constraint forecast workbook,See docs/OUTAGE_CONSTRAINT_SIGNALS.md.,Newest ECP snapshot published no later than issue time.,Null when no eligible publication exists; availability flag distinguishes unknown from zero.
ecp_area_c_constraint_pressure_ratio,feature,float64,ratio,EirGrid ECP constraint forecast workbook,See docs/OUTAGE_CONSTRAINT_SIGNALS.md.,Newest ECP snapshot published no later than issue time.,Null when no eligible publication exists; availability flag distinguishes unknown from zero.
ecp_area_d_constraint_pressure_ratio,feature,float64,ratio,EirGrid ECP constraint forecast workbook,See docs/OUTAGE_CONSTRAINT_SIGNALS.md.,Newest ECP snapshot published no later than issue time.,Null when no eligible publication exists; availability flag distinguishes unknown from zero.
ecp_area_e_constraint_pressure_ratio,feature,float64,ratio,EirGrid ECP constraint forecast workbook,See docs/OUTAGE_CONSTRAINT_SIGNALS.md.,Newest ECP snapshot published no later than issue time.,Null when no eligible publication exists; availability flag distinguishes unknown from zero.
ecp_area_f_constraint_pressure_ratio,feature,float64,ratio,EirGrid ECP constraint forecast workbook,See docs/OUTAGE_CONSTRAINT_SIGNALS.md.,Newest ECP snapshot published no later than issue time.,Null when no eligible publication exists; availability flag distinguishes unknown from zero.
ecp_area_g_constraint_pressure_ratio,feature,float64,ratio,EirGrid ECP constraint forecast workbook,See docs/OUTAGE_CONSTRAINT_SIGNALS.md.,Newest ECP snapshot published no later than issue time.,Null when no eligible publication exists; availability flag distinguishes unknown from zero.
ecp_area_h1_constraint_pressure_ratio,feature,float64,ratio,EirGrid ECP constraint forecast workbook,See docs/OUTAGE_CONSTRAINT_SIGNALS.md.,Newest ECP snapshot published no later than issue time.,Null when no eligible publication exists; availability flag distinguishes unknown from zero.
ecp_area_h2_constraint_pressure_ratio,feature,float64,ratio,EirGrid ECP constraint forecast workbook,See docs/OUTAGE_CONSTRAINT_SIGNALS.md.,Newest ECP snapshot published no later than issue time.,Null when no eligible publication exists; availability flag distinguishes unknown from zero.
ecp_area_i_constraint_pressure_ratio,feature,float64,ratio,EirGrid ECP constraint forecast workbook,See docs/OUTAGE_CONSTRAINT_SIGNALS.md.,Newest ECP snapshot published no later than issue time.,Null when no eligible publication exists; availability flag distinguishes unknown from zero.
ecp_area_j_constraint_pressure_ratio,feature,float64,ratio,EirGrid ECP constraint forecast workbook,See docs/OUTAGE_CONSTRAINT_SIGNALS.md.,Newest ECP snapshot published no later than issue time.,Null when no eligible publication exists; availability flag distinguishes unknown from zero.
ecp_area_k_constraint_pressure_ratio,feature,float64,ratio,EirGrid ECP constraint forecast workbook,See docs/OUTAGE_CONSTRAINT_SIGNALS.md.,Newest ECP snapshot published no later than issue time.,Null when no eligible publication exists; availability flag distinguishes unknown from zero.
ecp_area_a_installed_mw,feature,float64,MW,EirGrid ECP constraint forecast workbook,See docs/OUTAGE_CONSTRAINT_SIGNALS.md.,Newest ECP snapshot published no later than issue time.,Null when no eligible publication exists; availability flag distinguishes unknown from zero.
ecp_area_b_installed_mw,feature,float64,MW,EirGrid ECP constraint forecast workbook,See docs/OUTAGE_CONSTRAINT_SIGNALS.md.,Newest ECP snapshot published no later than issue time.,Null when no eligible publication exists; availability flag distinguishes unknown from zero.
ecp_area_c_installed_mw,feature,float64,MW,EirGrid ECP constraint forecast workbook,See docs/OUTAGE_CONSTRAINT_SIGNALS.md.,Newest ECP snapshot published no later than issue time.,Null when no eligible publication exists; availability flag distinguishes unknown from zero.
ecp_area_d_installed_mw,feature,float64,MW,EirGrid ECP constraint forecast workbook,See docs/OUTAGE_CONSTRAINT_SIGNALS.md.,Newest ECP snapshot published no later than issue time.,Null when no eligible publication exists; availability flag distinguishes unknown from zero.
ecp_area_e_installed_mw,feature,float64,MW,EirGrid ECP constraint forecast workbook,See docs/OUTAGE_CONSTRAINT_SIGNALS.md.,Newest ECP snapshot published no later than issue time.,Null when no eligible publication exists; availability flag distinguishes unknown from zero.
ecp_area_f_installed_mw,feature,float64,MW,EirGrid ECP constraint forecast workbook,See docs/OUTAGE_CONSTRAINT_SIGNALS.md.,Newest ECP snapshot published no later than issue time.,Null when no eligible publication exists; availability flag distinguishes unknown from zero.
ecp_area_g_installed_mw,feature,float64,MW,EirGrid ECP constraint forecast workbook,See docs/OUTAGE_CONSTRAINT_SIGNALS.md.,Newest ECP snapshot published no later than issue time.,Null when no eligible publication exists; availability flag distinguishes unknown from zero.
ecp_area_h1_installed_mw,feature,float64,MW,EirGrid ECP constraint forecast workbook,See docs/OUTAGE_CONSTRAINT_SIGNALS.md.,Newest ECP snapshot published no later than issue time.,Null when no eligible publication exists; availability flag distinguishes unknown from zero.
ecp_area_h2_installed_mw,feature,float64,MW,EirGrid ECP constraint forecast workbook,See docs/OUTAGE_CONSTRAINT_SIGNALS.md.,Newest ECP snapshot published no later than issue time.,Null when no eligible publication exists; availability flag distinguishes unknown from zero.
ecp_area_i_installed_mw,feature,float64,MW,EirGrid ECP constraint forecast workbook,See docs/OUTAGE_CONSTRAINT_SIGNALS.md.,Newest ECP snapshot published no later than issue time.,Null when no eligible publication exists; availability flag distinguishes unknown from zero.
ecp_area_j_installed_mw,feature,float64,MW,EirGrid ECP constraint forecast workbook,See docs/OUTAGE_CONSTRAINT_SIGNALS.md.,Newest ECP snapshot published no later than issue time.,Null when no eligible publication exists; availability flag distinguishes unknown from zero.
ecp_area_k_installed_mw,feature,float64,MW,EirGrid ECP constraint forecast workbook,See docs/OUTAGE_CONSTRAINT_SIGNALS.md.,Newest ECP snapshot published no later than issue time.,Null when no eligible publication exists; availability flag distinguishes unknown from zero.
generation_outage_missing_flag,feature,int64,count,EirGrid All-Island Generation Outage Plan,See docs/OUTAGE_CONSTRAINT_SIGNALS.md.,Newest generation-plan snapshot published no later than issue time.,Null when no eligible publication exists; availability flag distinguishes unknown from zero.
transmission_outage_missing_flag,feature,int64,count,EirGrid Transmission Outage Programme,See docs/OUTAGE_CONSTRAINT_SIGNALS.md.,Newest transmission snapshot published no later than issue time.,Null when no eligible publication exists; availability flag distinguishes unknown from zero.
ecp_constraint_missing_flag,feature,int64,count,EirGrid ECP constraint forecast workbook,See docs/OUTAGE_CONSTRAINT_SIGNALS.md.,Newest ECP snapshot published no later than issue time.,Null when no eligible publication exists; availability flag distinguishes unknown from zero.
