column,role,dtype,unit,source,formula,availability_rule,missingness_handling
weather_wind_weighted_u_100m_mps,feature,float64,m/s,Open-Meteo ECMWF IFS single-run archive,See docs/REGIONAL_WEATHER_SIGNALS.md.,Newest regional run conservatively available by issue time; errors require the delayed analysis proxy to be available.,Null for unavailable values; explicit regional/source flags are provided.
weather_wind_weighted_v_100m_mps,feature,float64,m/s,Open-Meteo ECMWF IFS single-run archive,See docs/REGIONAL_WEATHER_SIGNALS.md.,Newest regional run conservatively available by issue time; errors require the delayed analysis proxy to be available.,Null for unavailable values; explicit regional/source flags are provided.
weather_wind_weighted_gust_10m_mps,feature,float64,m/s,Open-Meteo ECMWF IFS single-run archive,See docs/REGIONAL_WEATHER_SIGNALS.md.,Newest regional run conservatively available by issue time; errors require the delayed analysis proxy to be available.,Null for unavailable values; explicit regional/source flags are provided.
weather_wind_weighted_gust_excess_mps,feature,float64,m/s,Open-Meteo ECMWF IFS single-run archive,See docs/REGIONAL_WEATHER_SIGNALS.md.,Newest regional run conservatively available by issue time; errors require the delayed analysis proxy to be available.,Null for unavailable values; explicit regional/source flags are provided.
weather_wind_speed_spatial_spread_mps,feature,float64,m/s,Open-Meteo ECMWF IFS single-run archive,See docs/REGIONAL_WEATHER_SIGNALS.md.,Newest regional run conservatively available by issue time; errors require the delayed analysis proxy to be available.,Null for unavailable values; explicit regional/source flags are provided.
weather_wind_gust_spatial_spread_mps,feature,float64,m/s,Open-Meteo ECMWF IFS single-run archive,See docs/REGIONAL_WEATHER_SIGNALS.md.,Newest regional run conservatively available by issue time; errors require the delayed analysis proxy to be available.,Null for unavailable values; explicit regional/source flags are provided.
weather_wind_weighted_pressure_tendency_3h_hpa,feature,float64,hPa,Open-Meteo ECMWF IFS single-run archive,See docs/REGIONAL_WEATHER_SIGNALS.md.,Newest regional run conservatively available by issue time; errors require the delayed analysis proxy to be available.,Null for unavailable values; explicit regional/source flags are provided.
weather_solar_weighted_temperature_2m_c,feature,float64,degrees C,Open-Meteo ECMWF IFS single-run archive,See docs/REGIONAL_WEATHER_SIGNALS.md.,Newest regional run conservatively available by issue time; errors require the delayed analysis proxy to be available.,Null for unavailable values; explicit regional/source flags are provided.
weather_solar_weighted_cloud_cover_pct,feature,float64,percent,Open-Meteo ECMWF IFS single-run archive,See docs/REGIONAL_WEATHER_SIGNALS.md.,Newest regional run conservatively available by issue time; errors require the delayed analysis proxy to be available.,Null for unavailable values; explicit regional/source flags are provided.
weather_solar_weighted_shortwave_radiation_wm2,feature,float64,W/m2,Open-Meteo ECMWF IFS single-run archive,See docs/REGIONAL_WEATHER_SIGNALS.md.,Newest regional run conservatively available by issue time; errors require the delayed analysis proxy to be available.,Null for unavailable values; explicit regional/source flags are provided.
weather_region_northwest_missing_flag,feature,int64,count,Open-Meteo ECMWF IFS single-run archive,See docs/REGIONAL_WEATHER_SIGNALS.md.,Newest regional run conservatively available by issue time; errors require the delayed analysis proxy to be available.,Null for unavailable values; explicit regional/source flags are provided.
weather_region_northwest_wind_speed_100m_mps,feature,float64,m/s,Open-Meteo ECMWF IFS single-run archive,See docs/REGIONAL_WEATHER_SIGNALS.md.,Newest regional run conservatively available by issue time; errors require the delayed analysis proxy to be available.,Null for unavailable values; explicit regional/source flags are provided.
weather_region_northwest_wind_gusts_10m_mps,feature,float64,m/s,Open-Meteo ECMWF IFS single-run archive,See docs/REGIONAL_WEATHER_SIGNALS.md.,Newest regional run conservatively available by issue time; errors require the delayed analysis proxy to be available.,Null for unavailable values; explicit regional/source flags are provided.
weather_region_northwest_temperature_2m_c,feature,float64,degrees C,Open-Meteo ECMWF IFS single-run archive,See docs/REGIONAL_WEATHER_SIGNALS.md.,Newest regional run conservatively available by issue time; errors require the delayed analysis proxy to be available.,Null for unavailable values; explicit regional/source flags are provided.
weather_region_northwest_cloud_cover_pct,feature,float64,percent,Open-Meteo ECMWF IFS single-run archive,See docs/REGIONAL_WEATHER_SIGNALS.md.,Newest regional run conservatively available by issue time; errors require the delayed analysis proxy to be available.,Null for unavailable values; explicit regional/source flags are provided.
weather_region_northwest_shortwave_radiation_wm2,feature,float64,W/m2,Open-Meteo ECMWF IFS single-run archive,See docs/REGIONAL_WEATHER_SIGNALS.md.,Newest regional run conservatively available by issue time; errors require the delayed analysis proxy to be available.,Null for unavailable values; explicit regional/source flags are provided.
weather_region_west_missing_flag,feature,int64,count,Open-Meteo ECMWF IFS single-run archive,See docs/REGIONAL_WEATHER_SIGNALS.md.,Newest regional run conservatively available by issue time; errors require the delayed analysis proxy to be available.,Null for unavailable values; explicit regional/source flags are provided.
weather_region_west_wind_speed_100m_mps,feature,float64,m/s,Open-Meteo ECMWF IFS single-run archive,See docs/REGIONAL_WEATHER_SIGNALS.md.,Newest regional run conservatively available by issue time; errors require the delayed analysis proxy to be available.,Null for unavailable values; explicit regional/source flags are provided.
weather_region_west_wind_gusts_10m_mps,feature,float64,m/s,Open-Meteo ECMWF IFS single-run archive,See docs/REGIONAL_WEATHER_SIGNALS.md.,Newest regional run conservatively available by issue time; errors require the delayed analysis proxy to be available.,Null for unavailable values; explicit regional/source flags are provided.
weather_region_west_temperature_2m_c,feature,float64,degrees C,Open-Meteo ECMWF IFS single-run archive,See docs/REGIONAL_WEATHER_SIGNALS.md.,Newest regional run conservatively available by issue time; errors require the delayed analysis proxy to be available.,Null for unavailable values; explicit regional/source flags are provided.
weather_region_west_cloud_cover_pct,feature,float64,percent,Open-Meteo ECMWF IFS single-run archive,See docs/REGIONAL_WEATHER_SIGNALS.md.,Newest regional run conservatively available by issue time; errors require the delayed analysis proxy to be available.,Null for unavailable values; explicit regional/source flags are provided.
weather_region_west_shortwave_radiation_wm2,feature,float64,W/m2,Open-Meteo ECMWF IFS single-run archive,See docs/REGIONAL_WEATHER_SIGNALS.md.,Newest regional run conservatively available by issue time; errors require the delayed analysis proxy to be available.,Null for unavailable values; explicit regional/source flags are provided.
weather_region_southwest_missing_flag,feature,int64,count,Open-Meteo ECMWF IFS single-run archive,See docs/REGIONAL_WEATHER_SIGNALS.md.,Newest regional run conservatively available by issue time; errors require the delayed analysis proxy to be available.,Null for unavailable values; explicit regional/source flags are provided.
weather_region_southwest_wind_speed_100m_mps,feature,float64,m/s,Open-Meteo ECMWF IFS single-run archive,See docs/REGIONAL_WEATHER_SIGNALS.md.,Newest regional run conservatively available by issue time; errors require the delayed analysis proxy to be available.,Null for unavailable values; explicit regional/source flags are provided.
weather_region_southwest_wind_gusts_10m_mps,feature,float64,m/s,Open-Meteo ECMWF IFS single-run archive,See docs/REGIONAL_WEATHER_SIGNALS.md.,Newest regional run conservatively available by issue time; errors require the delayed analysis proxy to be available.,Null for unavailable values; explicit regional/source flags are provided.
weather_region_southwest_temperature_2m_c,feature,float64,degrees C,Open-Meteo ECMWF IFS single-run archive,See docs/REGIONAL_WEATHER_SIGNALS.md.,Newest regional run conservatively available by issue time; errors require the delayed analysis proxy to be available.,Null for unavailable values; explicit regional/source flags are provided.
weather_region_southwest_cloud_cover_pct,feature,float64,percent,Open-Meteo ECMWF IFS single-run archive,See docs/REGIONAL_WEATHER_SIGNALS.md.,Newest regional run conservatively available by issue time; errors require the delayed analysis proxy to be available.,Null for unavailable values; explicit regional/source flags are provided.
weather_region_southwest_shortwave_radiation_wm2,feature,float64,W/m2,Open-Meteo ECMWF IFS single-run archive,See docs/REGIONAL_WEATHER_SIGNALS.md.,Newest regional run conservatively available by issue time; errors require the delayed analysis proxy to be available.,Null for unavailable values; explicit regional/source flags are provided.
weather_region_midlands_missing_flag,feature,int64,count,Open-Meteo ECMWF IFS single-run archive,See docs/REGIONAL_WEATHER_SIGNALS.md.,Newest regional run conservatively available by issue time; errors require the delayed analysis proxy to be available.,Null for unavailable values; explicit regional/source flags are provided.
weather_region_midlands_wind_speed_100m_mps,feature,float64,m/s,Open-Meteo ECMWF IFS single-run archive,See docs/REGIONAL_WEATHER_SIGNALS.md.,Newest regional run conservatively available by issue time; errors require the delayed analysis proxy to be available.,Null for unavailable values; explicit regional/source flags are provided.
weather_region_midlands_wind_gusts_10m_mps,feature,float64,m/s,Open-Meteo ECMWF IFS single-run archive,See docs/REGIONAL_WEATHER_SIGNALS.md.,Newest regional run conservatively available by issue time; errors require the delayed analysis proxy to be available.,Null for unavailable values; explicit regional/source flags are provided.
weather_region_midlands_temperature_2m_c,feature,float64,degrees C,Open-Meteo ECMWF IFS single-run archive,See docs/REGIONAL_WEATHER_SIGNALS.md.,Newest regional run conservatively available by issue time; errors require the delayed analysis proxy to be available.,Null for unavailable values; explicit regional/source flags are provided.
weather_region_midlands_cloud_cover_pct,feature,float64,percent,Open-Meteo ECMWF IFS single-run archive,See docs/REGIONAL_WEATHER_SIGNALS.md.,Newest regional run conservatively available by issue time; errors require the delayed analysis proxy to be available.,Null for unavailable values; explicit regional/source flags are provided.
weather_region_midlands_shortwave_radiation_wm2,feature,float64,W/m2,Open-Meteo ECMWF IFS single-run archive,See docs/REGIONAL_WEATHER_SIGNALS.md.,Newest regional run conservatively available by issue time; errors require the delayed analysis proxy to be available.,Null for unavailable values; explicit regional/source flags are provided.
weather_region_east_missing_flag,feature,int64,count,Open-Meteo ECMWF IFS single-run archive,See docs/REGIONAL_WEATHER_SIGNALS.md.,Newest regional run conservatively available by issue time; errors require the delayed analysis proxy to be available.,Null for unavailable values; explicit regional/source flags are provided.
weather_region_east_wind_speed_100m_mps,feature,float64,m/s,Open-Meteo ECMWF IFS single-run archive,See docs/REGIONAL_WEATHER_SIGNALS.md.,Newest regional run conservatively available by issue time; errors require the delayed analysis proxy to be available.,Null for unavailable values; explicit regional/source flags are provided.
weather_region_east_wind_gusts_10m_mps,feature,float64,m/s,Open-Meteo ECMWF IFS single-run archive,See docs/REGIONAL_WEATHER_SIGNALS.md.,Newest regional run conservatively available by issue time; errors require the delayed analysis proxy to be available.,Null for unavailable values; explicit regional/source flags are provided.
weather_region_east_temperature_2m_c,feature,float64,degrees C,Open-Meteo ECMWF IFS single-run archive,See docs/REGIONAL_WEATHER_SIGNALS.md.,Newest regional run conservatively available by issue time; errors require the delayed analysis proxy to be available.,Null for unavailable values; explicit regional/source flags are provided.
weather_region_east_cloud_cover_pct,feature,float64,percent,Open-Meteo ECMWF IFS single-run archive,See docs/REGIONAL_WEATHER_SIGNALS.md.,Newest regional run conservatively available by issue time; errors require the delayed analysis proxy to be available.,Null for unavailable values; explicit regional/source flags are provided.
weather_region_east_shortwave_radiation_wm2,feature,float64,W/m2,Open-Meteo ECMWF IFS single-run archive,See docs/REGIONAL_WEATHER_SIGNALS.md.,Newest regional run conservatively available by issue time; errors require the delayed analysis proxy to be available.,Null for unavailable values; explicit regional/source flags are provided.
weather_region_southeast_missing_flag,feature,int64,count,Open-Meteo ECMWF IFS single-run archive,See docs/REGIONAL_WEATHER_SIGNALS.md.,Newest regional run conservatively available by issue time; errors require the delayed analysis proxy to be available.,Null for unavailable values; explicit regional/source flags are provided.
weather_region_southeast_wind_speed_100m_mps,feature,float64,m/s,Open-Meteo ECMWF IFS single-run archive,See docs/REGIONAL_WEATHER_SIGNALS.md.,Newest regional run conservatively available by issue time; errors require the delayed analysis proxy to be available.,Null for unavailable values; explicit regional/source flags are provided.
weather_region_southeast_wind_gusts_10m_mps,feature,float64,m/s,Open-Meteo ECMWF IFS single-run archive,See docs/REGIONAL_WEATHER_SIGNALS.md.,Newest regional run conservatively available by issue time; errors require the delayed analysis proxy to be available.,Null for unavailable values; explicit regional/source flags are provided.
weather_region_southeast_temperature_2m_c,feature,float64,degrees C,Open-Meteo ECMWF IFS single-run archive,See docs/REGIONAL_WEATHER_SIGNALS.md.,Newest regional run conservatively available by issue time; errors require the delayed analysis proxy to be available.,Null for unavailable values; explicit regional/source flags are provided.
weather_region_southeast_cloud_cover_pct,feature,float64,percent,Open-Meteo ECMWF IFS single-run archive,See docs/REGIONAL_WEATHER_SIGNALS.md.,Newest regional run conservatively available by issue time; errors require the delayed analysis proxy to be available.,Null for unavailable values; explicit regional/source flags are provided.
weather_region_southeast_shortwave_radiation_wm2,feature,float64,W/m2,Open-Meteo ECMWF IFS single-run archive,See docs/REGIONAL_WEATHER_SIGNALS.md.,Newest regional run conservatively available by issue time; errors require the delayed analysis proxy to be available.,Null for unavailable values; explicit regional/source flags are provided.
weather_error_observed_at_utc,feature,"datetime64[us, UTC]",UTC timestamp,Open-Meteo ECMWF run minus delayed historical-forecast analysis proxy,See docs/REGIONAL_WEATHER_SIGNALS.md.,Newest regional run conservatively available by issue time; errors require the delayed analysis proxy to be available.,Timestamps remain null; matching availability flags are zero.
weather_error_source_available_flag,feature,int64,count,Open-Meteo ECMWF run minus delayed historical-forecast analysis proxy,See docs/REGIONAL_WEATHER_SIGNALS.md.,Newest regional run conservatively available by issue time; errors require the delayed analysis proxy to be available.,Null for unavailable values; explicit regional/source flags are provided.
weather_wind_error_latest_mps,feature,float64,m/s,Open-Meteo ECMWF run minus delayed historical-forecast analysis proxy,See docs/REGIONAL_WEATHER_SIGNALS.md.,Newest regional run conservatively available by issue time; errors require the delayed analysis proxy to be available.,Null for unavailable values; explicit regional/source flags are provided.
weather_wind_error_bias_24h_mps,feature,float64,m/s,Open-Meteo ECMWF run minus delayed historical-forecast analysis proxy,See docs/REGIONAL_WEATHER_SIGNALS.md.,Newest regional run conservatively available by issue time; errors require the delayed analysis proxy to be available.,Null for unavailable values; explicit regional/source flags are provided.
weather_wind_error_mae_24h_mps,feature,float64,m/s,Open-Meteo ECMWF run minus delayed historical-forecast analysis proxy,See docs/REGIONAL_WEATHER_SIGNALS.md.,Newest regional run conservatively available by issue time; errors require the delayed analysis proxy to be available.,Null for unavailable values; explicit regional/source flags are provided.
weather_temperature_error_bias_24h_c,feature,float64,degrees C,Open-Meteo ECMWF run minus delayed historical-forecast analysis proxy,See docs/REGIONAL_WEATHER_SIGNALS.md.,Newest regional run conservatively available by issue time; errors require the delayed analysis proxy to be available.,Null for unavailable values; explicit regional/source flags are provided.
weather_irradiance_error_bias_24h_wm2,feature,float64,W/m2,Open-Meteo ECMWF run minus delayed historical-forecast analysis proxy,See docs/REGIONAL_WEATHER_SIGNALS.md.,Newest regional run conservatively available by issue time; errors require the delayed analysis proxy to be available.,Null for unavailable values; explicit regional/source flags are provided.
weather_irradiance_error_mae_24h_wm2,feature,float64,W/m2,Open-Meteo ECMWF run minus delayed historical-forecast analysis proxy,See docs/REGIONAL_WEATHER_SIGNALS.md.,Newest regional run conservatively available by issue time; errors require the delayed analysis proxy to be available.,Null for unavailable values; explicit regional/source flags are provided.
weather_error_observation_count_24h,feature,int64,count,Open-Meteo ECMWF run minus delayed historical-forecast analysis proxy,See docs/REGIONAL_WEATHER_SIGNALS.md.,Newest regional run conservatively available by issue time; errors require the delayed analysis proxy to be available.,Null for unavailable values; explicit regional/source flags are provided.
